FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
StartTime,02/10/2017 16:13:52

DEVICE_INFO
ModelName,3DM-GX3-35
ModelNumber,6225-4220
SerialNumber,6225-01353
DeviceOptions,GPS
FirmwareVersion,1.1.19

DATA_START
GPS TFlags,GPS Week,GPS TOW,Roll [x800C],Pitch [x800C],Yaw [x800C],M11 [x8009],M12 [x8009],M13 [x8009],M21 [x8009],M22 [x8009],M23 [x8009],M31 [x8009],M32 [x8009],M33 [x8009],X Accel [x8004],Y Accel [x8004],Z Accel [x8004],X Gyro [x8005],Y Gyro [x8005],Z Gyro [x8005],X Mag [x8006],Y Mag [x8006],Z Mag [x8006],Lat [x8103],Long [x8103],Height [x8103],MSL Height [x8103],Horz Acc [x8103],Vert Acc [x8103],Flags [x8103],UTC Year [x8108],UTC Month [x8108],UTC Day [x8108],UTC Hour [x8108],UTC Minute [x8108],UTC Second [x8108],UTC Millesecond [x8108],Flags [x8108],SVI Channel [x810C],SVI ID [x810C],SVI CNR [x810C],SVI Azimuth [x810C],SVI Elev [x810C],SVI Flags [x810C],[x810C],HW Sensor Stat [x810D],HW Ant Stat [x810D],HW Ant Pwr [x810D],Flags [x810D],GPS Fix [x810B],GPS SVs Used [x810B],GPS Fix Flags [x810B]
7,1969,137650.303104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.02041094,-0.01014014,-1.00291181,0.00310847,-0.00037763,-0.0025283,0.12103403,0.0099209,0.58318305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.313104,0.01195675,-0.01551942,-0.03885551,0.99912506,-0.03884107,0.0155188,0.03865756,0.99918109,0.01195502,-0.01597044,-0.01134464,0.99980819,-0.0236101,-0.0104948,-1.00225055,-0.00269351,0.00319397,-0.00303631,0.12086097,0.01000557,0.58358681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.323104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.02125091,-0.01094355,-1.00197792,-0.00243694,0.00348703,0.00131584,0.1205027,0.01066248,0.58405703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.333104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.02162093,-0.01208385,-1.00165462,0.0013147,0.00200372,0.00432453,0.12044342,0.01098029,0.58389866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.343104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.02087333,-0.01047582,-1.0014528,-0.00192678,0.00359994,-0.00196383,0.12047636,0.01090305,0.58476233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.353104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.02182883,-0.01087619,-1.00210154,-0.00092208,0.00293907,0.00075204,0.12074768,0.01108847,0.58449346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.363104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.01991416,-0.01011992,-1.00240612,0.00098334,-0.00031261,0.00381488,0.12043732,0.01045882,0.58421785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.373104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.02027929,-0.00986353,-1.00204515,0.00087368,0.00360821,0.00232901,0.12036601,0.01045518,0.58403474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.383104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.0192756,-0.00961649,-1.00184274,-0.00288199,0.00052072,0.00281832,0.12031826,0.01082229,0.58431482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1969,137650.393104,0.01198326,-0.01554664,-0.03875092,0.99912858,-0.03873654,0.01554601,0.0385523,0.99918479,0.01198153,-0.01599746,-0.01137175,0.99980736,-0.02047643,-0.01037552,-1.00372088,-0.00542242,-0.00334696,-0.00084234,0.12025728,0.01080961,0.58452576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
