# time [s],                    x_linear_position [m],                    y_linear_position [m],                    z_linear_position [m],                    x_orientation,                    y_orientation,                    z_orientation,                    w_orientation
1.536097677175132036e+09,6.254800520757567137e+05,5.041731855540502816e+06,2.463332578624241265e+01,-8.763434095591781520e-03,1.906104964949997772e-03,2.105151980277203405e-01,9.775494465171900016e-01
1.536097677670858622e+09,6.254802059128691908e+05,5.041731921746179461e+06,2.463311755930482505e+01,-8.766872252021594772e-03,1.890228611020726727e-03,2.122854901241087722e-01,9.771665363025289208e-01
1.536097678082159042e+09,6.254801775689187925e+05,5.041731900016740896e+06,2.462805129314645214e+01,-8.097122315462284767e-03,1.142650726781902805e-02,2.051801420459046232e-01,9.786240242564504532e-01
1.536097678535670042e+09,6.254804860879518092e+05,5.041732095125900581e+06,2.462625738258470065e+01,-8.269982662567159498e-03,1.130202835308410578e-02,2.200412643617916386e-01,9.753900314848061859e-01
1.536097678989722013e+09,6.254806307166883489e+05,5.041732156046804972e+06,2.461864175194677173e+01,-8.284069312694588780e-03,1.129170730029565618e-02,2.212573572140939526e-01,9.751148924206325397e-01
1.536097679458271980e+09,6.254807681757706450e+05,5.041732223360021599e+06,2.460711945481000029e+01,-7.587431415105028859e-03,2.878966053340447154e-02,2.229003213415139684e-01,9.743864906066493914e-01
1.536097679937683821e+09,6.254809149687199388e+05,5.041732283019268885e+06,2.461001221185488319e+01,-7.728039775079120592e-03,2.875223591900958817e-02,2.276596181791316065e-01,9.732855103110416017e-01
1.536097680373976707e+09,6.254810154774478870e+05,5.041732345947075635e+06,2.461351425825964867e+01,-2.992030426887671278e-04,2.256953570309468485e-02,2.518711735843685573e-01,9.674975134091657880e-01
1.536097680817092896e+09,6.254811196301091695e+05,5.041732403010432608e+06,2.461374794743239036e+01,-8.871300402285319572e-04,2.255407866896238372e-02,2.769929330227745568e-01,9.606068090489087163e-01
1.536097681292542458e+09,6.254812507708697813e+05,5.041732380037067458e+06,2.461735944894393313e+01,2.599853566026711239e-03,2.252322535351696312e-02,3.067915908906589939e-01,9.515066288996039123e-01
1.536097681740829945e+09,6.254813794419891201e+05,5.041732458531590179e+06,2.461578012385280800e+01,1.939261819676574294e-03,2.258969195196861360e-02,3.345200433778552918e-01,9.421158557521402965e-01
1.536097682170747280e+09,6.254814783322870499e+05,5.041732548401258886e+06,2.462243052316049940e+01,4.883795252809850114e-03,8.922756575798850009e-03,3.587696117347849434e-01,9.333707187686408613e-01
1.536097682646543026e+09,6.254815866586125921e+05,5.041732650605196133e+06,2.462188700224529470e+01,4.660122667677461979e-03,9.041587123095612064e-03,3.818974356499426070e-01,9.241487334855876812e-01
1.536097683091956139e+09,6.254818252929911250e+05,5.041732650548139587e+06,2.461724686915440330e+01,-8.962561269179252638e-03,1.531504741103594490e-02,4.093132742092197018e-01,9.122213357373429865e-01
1.536097683552611351e+09,6.254818825359737966e+05,5.041732723855527118e+06,2.462092933459244293e+01,-9.373168976420764853e-03,1.506724543655988020e-02,4.338160823876329730e-01,9.008266917005403052e-01
1.536097684010385752e+09,6.254819532715773676e+05,5.041732819949448109e+06,2.461521327276441440e+01,-9.855777381101401766e-03,1.475607786372249743e-02,4.627361079299882607e-01,8.863184620869071217e-01
1.536097684464696646e+09,6.254819067979790270e+05,5.041732670248148963e+06,2.461839570168403668e+01,-7.573516075048651944e-03,7.311805269383405553e-03,4.626290437724500659e-01,8.864894512717860220e-01
1.536097684903795958e+09,6.254820907294830540e+05,5.041733029704943299e+06,2.460763231045492461e+01,-7.882443158727081220e-03,6.977659484801466104e-03,5.005093030201744897e-01,8.656671513625907588e-01
1.536097685366171837e+09,6.254822508369339630e+05,5.041733155493776314e+06,2.458794710600796307e+01,1.474860756581664652e-03,3.906010777064375643e-03,5.317221162702132631e-01,8.469085894798115133e-01
1.536097685815647125e+09,6.254823144610187737e+05,5.041733267992757261e+06,2.457845887809710561e+01,1.357933570398446111e-03,3.948183235392276925e-03,5.566971348650505691e-01,8.307050426587055947e-01
1.536097686255888462e+09,6.254823894925143104e+05,5.041733201321357861e+06,2.457475759911754309e+01,-8.401705308154802654e-03,9.952436137846479292e-04,5.729313821222000724e-01,8.195596697114919671e-01
1.536097686705888510e+09,6.254824025891049532e+05,5.041733193064118735e+06,2.457389552671199695e+01,-8.419175184452894894e-03,8.346563061214076545e-04,5.884740404209808373e-01,8.084718452665313748e-01
