# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097583001160383e+09,6.255004150040324312e+05,5.041744765778601170e+06,2.643000030517578125e+01
1.536097583087697744e+09,6.255004137653191574e+05,5.041744814655944705e+06,2.645000076293945312e+01
1.536097583131317616e+09,6.255004037936968962e+05,5.041744857430970296e+06,2.645999908447265625e+01
1.536097583179059267e+09,6.255003979495046660e+05,5.041744889174483716e+06,2.645999908447265625e+01
1.536097583226971149e+09,6.255003901189619210e+05,5.041744916062120348e+06,2.645999908447265625e+01
1.536097583276128769e+09,6.255003796762225684e+05,5.041744975869368762e+06,2.639999961853027344e+01
1.536097583325391293e+09,6.255003663308587857e+05,5.041745011537924409e+06,2.639999961853027344e+01
1.536097583372627974e+09,6.255003650481574005e+05,5.041745017069313675e+06,2.640999984741210938e+01
1.536097583421352625e+09,6.255003514642320806e+05,5.041745045138444752e+06,2.640999984741210938e+01
1.536097583470108032e+09,6.255003398143131053e+05,5.041745074172460474e+06,2.639999961853027344e+01
1.536097583518520117e+09,6.255003124018706148e+05,5.041745142531364225e+06,2.642000007629394531e+01
1.536097583573363781e+09,6.255003004689166555e+05,5.041745166187889874e+06,2.643000030517578125e+01
1.536097583615196466e+09,6.255002958180244314e+05,5.041745190360634588e+06,2.643000030517578125e+01
1.536097583663773775e+09,6.255002728007860715e+05,5.041745195271776989e+06,2.642000007629394531e+01
1.536097583713045835e+09,6.255002716380566126e+05,5.041745214327747002e+06,2.640999984741210938e+01
1.536097583762352943e+09,6.255002664266421925e+05,5.041745253493337892e+06,2.643000030517578125e+01
1.536097583809293985e+09,6.255002686418412486e+05,5.041745233902726322e+06,2.639999961853027344e+01
1.536097583858808756e+09,6.255002542829331942e+05,5.041745242136164568e+06,2.645999908447265625e+01
1.536097583908003092e+09,6.255002344309559558e+05,5.041745303607441485e+06,2.646999931335449219e+01
1.536097583955482960e+09,6.255002243208338041e+05,5.041745333783689886e+06,2.646999931335449219e+01
1.536097584001930237e+09,6.255002197700007819e+05,5.041745352957084775e+06,2.646999931335449219e+01
1.536097584087546587e+09,6.255002130794926779e+05,5.041745355416469276e+06,2.648999977111816406e+01
1.536097584131018162e+09,6.255002052605301142e+05,5.041745388231871650e+06,2.648999977111816406e+01
1.536097584178976774e+09,6.255002029258193215e+05,5.041745400781148113e+06,2.648999977111816406e+01
1.536097584228124619e+09,6.255002036850580480e+05,5.041745408390994184e+06,2.648999977111816406e+01
1.536097584275333405e+09,6.255001850731987506e+05,5.041745388383531012e+06,2.652000045776367188e+01
1.536097584324328899e+09,6.255001809124138672e+05,5.041745401081494987e+06,2.652000045776367188e+01
1.536097584372925043e+09,6.255001847628183896e+05,5.041745416903564706e+06,2.652000045776367188e+01
1.536097584420762777e+09,6.255001786606156966e+05,5.041745429006964900e+06,2.652000045776367188e+01
1.536097584470582724e+09,6.255001752738935174e+05,5.041745448574130423e+06,2.651000022888183594e+01
1.536097584518490791e+09,6.255001735163694248e+05,5.041745471322902478e+06,2.651000022888183594e+01
1.536097584566317797e+09,6.255001672098778654e+05,5.041745487126921304e+06,2.651000022888183594e+01
1.536097584615729094e+09,6.255001639236777555e+05,5.041745508177981712e+06,2.648999977111816406e+01
1.536097584662801981e+09,6.255001734153445577e+05,5.041745567458037287e+06,2.652000045776367188e+01
1.536097584711929798e+09,6.255001670310270274e+05,5.041745587150439620e+06,2.652000045776367188e+01
1.536097584760181904e+09,6.255001552546469029e+05,5.041745615996691398e+06,2.652000045776367188e+01
1.536097584808557987e+09,6.255000545309492154e+05,5.041745944440621883e+06,2.667000007629394531e+01
1.536097584857852936e+09,6.255001401272240328e+05,5.041745643108753487e+06,2.647999954223632812e+01
1.536097584906354189e+09,6.255000420541665517e+05,5.041745956231201068e+06,2.662999916076660156e+01
1.536097584954177380e+09,6.255000392469557701e+05,5.041745966362959705e+06,2.662999916076660156e+01
1.536097585000807524e+09,6.255000352584887296e+05,5.041745996476495638e+06,2.662999916076660156e+01
1.536097585088007927e+09,6.255000179761054460e+05,5.041746001131949015e+06,2.665999984741210938e+01
1.536097585131220102e+09,6.255000155677364673e+05,5.041746023867696524e+06,2.664999961853027344e+01
1.536097585177738428e+09,6.255000190651544835e+05,5.041746044313586317e+06,2.667000007629394531e+01
1.536097585226988316e+09,6.255000127109457972e+05,5.041746069007946178e+06,2.667000007629394531e+01
1.536097585276427507e+09,6.255000054210158996e+05,5.041746062378803268e+06,2.671999931335449219e+01
1.536097585324609280e+09,6.254999991339757107e+05,5.041746090223509818e+06,2.671999931335449219e+01
1.536097585371949434e+09,6.255000013144176919e+05,5.041746104900744744e+06,2.672999954223632812e+01
1.536097585420156479e+09,6.254999995717180427e+05,5.041746126908873208e+06,2.672999954223632812e+01
1.536097585469460726e+09,6.254999986461519729e+05,5.041746186165666208e+06,2.671999931335449219e+01
1.536097585518064737e+09,6.254999932327748975e+05,5.041746209396973252e+06,2.672999954223632812e+01
1.536097585569399834e+09,6.254999800796658965e+05,5.041746228953901678e+06,2.670999908447265625e+01
1.536097585614743233e+09,6.254999724682389060e+05,5.041746251400275156e+06,2.671999931335449219e+01
1.536097585662640572e+09,6.254999593151290901e+05,5.041746270957203582e+06,2.679000091552734375e+01
1.536097585712040663e+09,6.254999574455055408e+05,5.041746286294318736e+06,2.679000091552734375e+01
1.536097585761883974e+09,6.254999547462300397e+05,5.041746297539650463e+06,2.679000091552734375e+01
1.536097585809691429e+09,6.254999538364281179e+05,5.041746316971154884e+06,2.679000091552734375e+01
1.536097585857159138e+09,6.254999509842857951e+05,5.041746322841602378e+06,2.679000091552734375e+01
1.536097585906732559e+09,6.254999484642791795e+05,5.041746344648938626e+06,2.679000091552734375e+01
1.536097585955297709e+09,6.254999427678670036e+05,5.041746362502756529e+06,2.679000091552734375e+01
1.536097586001936436e+09,6.254999419025374809e+05,5.041746379712326452e+06,2.679000091552734375e+01
1.536097586087551355e+09,6.254999307478382252e+05,5.041746364485002123e+06,2.682999992370605469e+01
1.536097586130344868e+09,6.254999225263315020e+05,5.041746384881577455e+06,2.682999992370605469e+01
1.536097586178387880e+09,6.254999116236168193e+05,5.041746409114430659e+06,2.681999969482421875e+01
1.536097586227776766e+09,6.254999039195413934e+05,5.041746436189833097e+06,2.681999969482421875e+01
1.536097586276101351e+09,6.254998970687377732e+05,5.041746485695796087e+06,2.681999969482421875e+01
