# time [s],                    latitude [deg, +ve = towards North]                    longitude [deg, +ve = towards East]                    altitude [m]
1.536097577240761995e+09,4.551792161000000192e+01,-7.339310106666667366e+01,2.652000045776367188e+01
1.536097577331253052e+09,4.551792180500000029e+01,-7.339310127000000250e+01,2.652000045776367188e+01
1.536097577380095243e+09,4.551792189833333424e+01,-7.339310136333332935e+01,2.654000091552734375e+01
1.536097577429234505e+09,4.551792199500000891e+01,-7.339310160333333499e+01,2.653000068664550781e+01
1.536097577477308750e+09,4.551792217166666887e+01,-7.339310179166666614e+01,2.654000091552734375e+01
1.536097577526025534e+09,4.551792194666666802e+01,-7.339310189666666417e+01,2.652000045776367188e+01
1.536097577574582100e+09,4.551792207166666770e+01,-7.339310199000000523e+01,2.653000068664550781e+01
1.536097577625842094e+09,4.551792214666666325e+01,-7.339310215666665727e+01,2.653000068664550781e+01
1.536097577671593666e+09,4.551792185999999418e+01,-7.339310225500000229e+01,2.662000083923339844e+01
1.536097577719550133e+09,4.551792195500000560e+01,-7.339310241833332782e+01,2.662000083923339844e+01
1.536097577767169952e+09,4.551792206166666688e+01,-7.339310258333333081e+01,2.662000083923339844e+01
1.536097577816041946e+09,4.551792217499999538e+01,-7.339310276999999871e+01,2.662000083923339844e+01
1.536097577869794369e+09,4.551792203333332765e+01,-7.339310315166667920e+01,2.659000015258789062e+01
1.536097577913011789e+09,4.551792210166666308e+01,-7.339310334500000010e+01,2.659000015258789062e+01
1.536097577961272478e+09,4.551792217666665863e+01,-7.339310352833332729e+01,2.659000015258789062e+01
1.536097578007263184e+09,4.551792223166667384e+01,-7.339310376333332897e+01,2.660000038146972656e+01
1.536097578050609350e+09,4.551792280333334162e+01,-7.339310409166665750e+01,2.655999946594238281e+01
1.536097578094096661e+09,4.551792291833333337e+01,-7.339310430333333102e+01,2.655999946594238281e+01
1.536097578141341925e+09,4.551792303833332909e+01,-7.339310445833332608e+01,2.656999969482421875e+01
1.536097578189975023e+09,4.551792320666666569e+01,-7.339310458333332576e+01,2.656999969482421875e+01
1.536097578281390429e+09,4.551792321999999302e+01,-7.339310477000000787e+01,2.656999969482421875e+01
1.536097578331148386e+09,4.551792333333332863e+01,-7.339310496833333275e+01,2.657999992370605469e+01
1.536097578378986835e+09,4.551792352666666375e+01,-7.339310528500000430e+01,2.656999969482421875e+01
1.536097578426979542e+09,4.551792365833333065e+01,-7.339310555833334604e+01,2.656999969482421875e+01
1.536097578476251602e+09,4.551792381166666956e+01,-7.339310571999999411e+01,2.656999969482421875e+01
1.536097578531950474e+09,4.551792378666667105e+01,-7.339310588333333385e+01,2.656999969482421875e+01
1.536097578573103189e+09,4.551792394499999972e+01,-7.339310603333333916e+01,2.656999969482421875e+01
1.536097578621106386e+09,4.551792401666666876e+01,-7.339310628833332828e+01,2.656999969482421875e+01
1.536097578669530153e+09,4.551792406500000254e+01,-7.339310658333333492e+01,2.659000015258789062e+01
1.536097578718104362e+09,4.551792422000000471e+01,-7.339310680666667963e+01,2.660000038146972656e+01
1.536097578766062975e+09,4.551792439166667492e+01,-7.339310714833332838e+01,2.659000015258789062e+01
1.536097578815625906e+09,4.551792443166667113e+01,-7.339310741500000290e+01,2.659000015258789062e+01
1.536097578863947868e+09,4.551792452833333158e+01,-7.339310762499999896e+01,2.659000015258789062e+01
1.536097578911387920e+09,4.551792480833332633e+01,-7.339310795333334170e+01,2.660000038146972656e+01
